Node,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127,Dimension_128
14,-0.039047115,-0.12718555,0.19110458,-0.007985608,-0.18089405,-0.2877409,-0.076174885,0.16389507,-0.103267215,-0.10132883,0.25152862,0.026099576,-0.029569492,-0.11638799,-0.09103685,-0.24166998,-0.009637913,0.1086382,-0.086062945,-0.18246913,0.11569227,-0.06618011,0.11482883,0.016337004,0.063638896,0.080369964,-0.07869273,0.039933946,0.1012649,-0.11461735,-0.25484303,0.09756818,-0.028485924,-0.040137585,0.07716807,0.07197261,0.18057418,-0.01161227,0.08849525,-0.052366167,0.07026748,0.16576158,-0.14323002,0.049173757,0.104904525,-0.06298262,-0.095329754,-0.08131528,0.13843477,0.034710266,0.061585076,-0.08555734,-0.044884138,0.121568315,0.17474243,-0.019670578,-0.0039741057,-0.18447886,-0.09701278,0.11779932,0.15787211,-0.064831704,0.05489066,0.0003579474,-0.06137877,-0.001023676,0.060788304,0.118492454,0.13426383,-0.13070971,0.06303562,-0.10414178,-0.15044998,-0.23760831,-0.0039417334,0.015777769,0.1278168,-0.08555028,0.11072617,0.03176295,-0.16323231,-0.032683805,0.2774511,0.16580854,-0.0014196832,0.051244795,0.10257963,-0.015985655,0.08723663,0.09421833,-0.032175522,0.057290684,-0.008281904,0.11390912,0.17026319,0.039797343,-0.18722984,-0.17060791,0.10001329,0.09396448,-0.196502,0.15898044,0.09986242,0.032244973,0.15665518,-0.051653754,-0.0009871777,-0.18440837,0.005160529,-0.10841719,0.062528975,-0.08616857,0.028947286,0.08844791,0.038008414,0.072716124,0.05482996,0.098481126,0.04746306,0.05315092,-0.030983105,-0.04553691,0.034873635,-0.100324675,-0.042070627,-0.09606831,-0.105328605,-0.006620301
7,-0.046582595,-0.12877603,0.17352164,-0.018186556,-0.1466263,-0.27322608,-0.062379643,0.14146648,-0.06913058,-0.070055194,0.26808906,0.019732032,-0.024374347,-0.10301565,-0.086790144,-0.19350171,-0.013847664,0.115048714,-0.060150236,-0.10429644,0.12776336,-0.038174,0.07595941,0.0035853868,0.017591504,0.07074421,-0.11100805,0.01720358,0.08418875,-0.09188939,-0.22941147,0.0695296,-0.043889455,-0.012405231,0.08786038,0.09759314,0.20188801,-0.0015795563,0.13172,-0.05415125,0.061303366,0.17491661,-0.08546133,0.023137046,0.104225,-0.045179266,-0.072311364,-0.09487127,0.12191598,0.013819441,0.085406326,-0.07250599,-0.02560124,0.09887015,0.19820693,-0.0117845,0.014624649,-0.15669376,-0.082759894,0.07109218,0.1517527,-0.10252728,0.039347727,-0.0027280368,-0.023058562,-0.0061274427,0.07217824,0.12628488,0.12895305,-0.09836055,0.066522434,-0.10051866,-0.15489428,-0.1934364,-0.016212821,-0.0074476125,0.119651355,-0.065332696,0.109662175,0.08723252,-0.13917667,-0.04966619,0.2362694,0.18164532,0.014528328,0.047423095,0.12612118,-0.025114136,0.103602394,0.107205614,-0.018989902,0.035601694,-0.069410056,0.086173765,0.20222184,0.018491764,-0.21715063,-0.17581716,0.077183045,0.08017116,-0.20097658,0.14736323,0.08761795,0.012017044,0.12499535,-0.0034638403,0.0034254529,-0.17829283,-0.0106001925,-0.12632756,0.06523538,-0.054085262,0.019341756,0.05526772,0.04280005,0.049020898,0.035634972,0.10479428,0.035968114,0.040977713,-0.046192598,-0.016759729,0.008833393,-0.08921627,-0.04234537,-0.08854702,-0.079988204,0.016650328
2,-0.067907065,-0.16415444,0.095318265,-0.018237712,-0.060465943,-0.234913,-0.009346698,0.08772048,-0.011124024,0.005186956,0.31996664,-0.029888645,-0.05935201,-0.019267265,-0.055555787,-0.04904226,-0.0027342092,0.11637036,-0.022961903,0.1237286,0.19092417,0.05668839,-0.048835967,-0.00023230162,-0.10570888,0.017204966,-0.22018428,-0.06748264,-0.012346705,-0.06450232,-0.17930306,-0.048574094,-0.033353027,0.045107994,0.124416366,0.19475313,0.29260632,-0.004263313,0.25145158,-0.050771177,-0.004817428,0.19716296,0.08736082,-0.048535954,0.07975407,-0.004596583,-0.020162588,-0.09702032,0.10995431,-0.022940371,0.12521519,-0.006913706,0.061715603,0.016333457,0.2888321,0.025486603,0.082887076,-0.09466967,-0.040494878,-0.019192085,0.13454615,-0.20873846,-0.026373811,-0.016065205,0.08072641,0.008923776,0.1252647,0.16770764,0.07866561,0.0136108035,0.13036805,-0.08080101,-0.17073044,-0.09255666,-0.024106158,-0.07118062,0.081159055,-0.029441703,0.11386678,0.23801517,-0.035616584,-0.11855624,0.13190232,0.2666923,0.022097547,0.04032222,0.20019518,-0.04928601,0.1400756,0.13906175,0.05393998,-0.019414892,-0.23220877,0.011378578,0.34726277,-0.00620137,-0.37044775,-0.20373766,-0.022119451,0.040000785,-0.2122452,0.1213691,0.05006098,-0.016232368,0.07820717,0.14262076,0.05434203,-0.14137731,-0.05969619,-0.21739227,0.066364445,0.034420986,-0.006894361,-0.046860307,0.07627511,-0.030048052,-0.017889239,0.14105266,-0.0131260315,0.010500055,-0.07548651,0.0714853,-0.064723305,-0.06887704,-0.0077131465,-0.030665353,0.016281387,0.12312356
9,-0.04597438,-0.13248982,0.15576525,-0.010737756,-0.12621354,-0.25707966,-0.0617237,0.123078905,-0.059545275,-0.06165612,0.2631148,0.0041198293,-0.029187154,-0.08697982,-0.07585111,-0.16456673,-0.016617622,0.1047952,-0.060830038,-0.061681606,0.13479513,-0.018227322,0.0515429,0.008800206,-0.0072629945,0.065099426,-0.12781326,0.0021734037,0.051846616,-0.08462799,-0.2125132,0.040409625,-0.038774032,0.0016769028,0.09749539,0.10497236,0.20458311,-0.010388003,0.14503525,-0.038014684,0.03964691,0.16554715,-0.050623048,0.019902993,0.08437307,-0.03908135,-0.051954653,-0.084110886,0.11532453,0.00028169295,0.089303054,-0.061710157,-0.0080246655,0.084305085,0.19776596,2.519018e-05,0.026312366,-0.14193432,-0.08071893,0.064314604,0.14367887,-0.11792511,0.031557493,-0.004611292,-0.0023201173,-0.0035922169,0.08271325,0.12724401,0.11853814,-0.07787357,0.07564759,-0.10221753,-0.1565678,-0.17608964,-0.0139721995,-0.020983694,0.106225535,-0.0661534,0.10656257,0.10288093,-0.11405314,-0.061515678,0.2184875,0.1924902,0.005487591,0.050713208,0.12066673,-0.017573709,0.096736,0.104428835,-0.0004160168,0.03332637,-0.08931671,0.07930055,0.2217046,0.0099552125,-0.23989233,-0.1724943,0.056235928,0.063732766,-0.19533828,0.1253016,0.08132846,0.013131188,0.107273184,0.016139304,0.018114619,-0.16622502,-0.014411008,-0.1404495,0.06046389,-0.044387303,0.022387406,0.037425272,0.048592363,0.033383388,0.016476873,0.10327864,0.02533483,0.02698288,-0.053606562,-0.0038956548,-0.00036880188,-0.07675692,-0.03598328,-0.07693991,-0.059200417,0.034751307
6,-0.047256175,-0.13474973,0.16599028,-0.022197267,-0.15870932,-0.27056617,-0.070857115,0.14044473,-0.09057032,-0.082077995,0.25276655,0.026285846,-0.034349937,-0.106672674,-0.07667881,-0.21367832,-0.009817157,0.11207373,-0.06260804,-0.13691251,0.111759886,-0.05769695,0.08436332,0.021111475,0.0404135,0.07617353,-0.08857585,0.017578278,0.0965614,-0.10613611,-0.23653701,0.073746845,-0.034840915,-0.025964499,0.081645004,0.09302459,0.18274577,-0.00729158,0.108832166,-0.05599715,0.07006088,0.16934599,-0.11059166,0.039753225,0.10772892,-0.059872016,-0.0843219,-0.09368452,0.1340052,0.019655075,0.08171118,-0.08280031,-0.024080098,0.10562601,0.17786661,-0.007919554,-0.0026632058,-0.16882724,-0.082359985,0.094040476,0.15591164,-0.076282576,0.04390013,0.008977604,-0.04739152,0.0015295581,0.06666809,0.11941699,0.13222611,-0.114094086,0.070090935,-0.110899426,-0.14800209,-0.21111844,-0.014552921,0.0120776,0.110985965,-0.070739046,0.11659427,0.071470894,-0.14812021,-0.046836797,0.25399566,0.17242187,0.00457546,0.038005758,0.11035896,-0.02370328,0.09987827,0.088444054,-0.02267065,0.046108328,-0.040538494,0.09734407,0.1865601,0.02897224,-0.2003401,-0.16434868,0.08660131,0.08041352,-0.18742035,0.15362388,0.0817709,0.019435648,0.14234519,-0.013557766,0.0067320303,-0.18299223,-0.002575656,-0.11661542,0.07062237,-0.061097555,0.026776262,0.0664243,0.03739557,0.046912666,0.03960367,0.09252526,0.04610096,0.054606557,-0.037946444,-0.023865301,0.009874817,-0.0859199,-0.046400297,-0.09478225,-0.08848062,-0.0010486615
8,-0.031998638,-0.12751926,0.17875466,-0.020855607,-0.15630218,-0.25734904,-0.07791718,0.13720596,-0.092412576,-0.089381434,0.23558259,0.016764551,-0.032613084,-0.105410144,-0.08679419,-0.22305076,-0.012470393,0.096065715,-0.076645315,-0.15664797,0.10893053,-0.06276699,0.09901217,0.01484143,0.045515962,0.07769851,-0.085627586,0.024271268,0.089801654,-0.10618405,-0.23181897,0.08936599,-0.033857103,-0.025030809,0.08242466,0.070632376,0.1740404,-0.0022241282,0.0887418,-0.041085374,0.07407509,0.15008739,-0.12210974,0.046476625,0.09695925,-0.060588937,-0.073849194,-0.08827469,0.12188443,0.023746192,0.06395748,-0.077634126,-0.037847552,0.10688891,0.16520703,-0.012304794,0.0035731911,-0.16829965,-0.08640051,0.10160729,0.15565766,-0.07225942,0.056023512,0.010807569,-0.052416172,-0.0021263775,0.063735954,0.107160196,0.12172069,-0.12165515,0.05930391,-0.10262051,-0.13860841,-0.21200617,-0.0072356784,0.01102617,0.11615802,-0.07725152,0.10254672,0.039620135,-0.14608258,-0.032586247,0.25131524,0.15094332,-0.0014253474,0.05238411,0.09457354,-0.0106186895,0.08201125,0.09327493,-0.0326676,0.053494498,-0.022548294,0.09740557,0.16035478,0.03203452,-0.18373992,-0.15895519,0.08029772,0.08428177,-0.17316207,0.1453699,0.08705537,0.025541069,0.14406256,-0.037713975,-0.004570115,-0.17759708,0.010047739,-0.102389544,0.052615482,-0.06998156,0.035275422,0.065760724,0.030668154,0.06497349,0.036920678,0.092689484,0.043567054,0.053035602,-0.027343988,-0.035980284,0.0178156,-0.07998652,-0.04135215,-0.08279923,-0.09706897,0.0052990085
5,-0.06676256,-0.16435917,0.11829496,-0.015275462,-0.077589,-0.24756643,-0.029194145,0.10092801,-0.012482744,-0.019825643,0.3150767,-0.031677727,-0.05606077,-0.03948813,-0.07180541,-0.07951833,-0.0055378857,0.114557885,-0.026488066,0.08615703,0.18354006,0.03565882,-0.024216056,-0.0013251274,-0.092329375,0.037561275,-0.20159383,-0.054177556,0.00034964053,-0.07301916,-0.18684788,-0.027890338,-0.04836206,0.04127109,0.12896995,0.18629849,0.280116,-0.0014926128,0.23634034,-0.057843175,-0.003738962,0.20048559,0.053584315,-0.034639284,0.098837644,-0.021885611,-0.022467634,-0.094412364,0.108166695,-0.014133315,0.11207557,-0.02424963,0.04558438,0.04342337,0.27958244,0.011985391,0.071619436,-0.10187173,-0.056339044,-0.004786833,0.13536663,-0.19551936,-0.004588,-0.021919008,0.06632278,0.016893871,0.11311352,0.16198596,0.09462081,-0.0025307783,0.12193897,-0.097956814,-0.17484386,-0.11396831,-0.021659557,-0.06012277,0.09403168,-0.038721044,0.11504531,0.21235672,-0.06392048,-0.10911962,0.1629918,0.25409314,0.016769564,0.03570401,0.18929236,-0.044303518,0.13249144,0.13268812,0.046671417,-0.012589498,-0.208732,0.025482137,0.33379418,-0.002072788,-0.3541462,-0.19836652,-0.0042572957,0.05190073,-0.22532149,0.124248646,0.047254004,-0.004651071,0.095394194,0.121050335,0.03683655,-0.1567589,-0.059350614,-0.20948707,0.060530074,0.0109559335,1.6443228e-06,-0.028126962,0.07303119,-0.013847621,-0.0032859726,0.131663,-0.002732959,0.013905705,-0.07039595,0.055876926,-0.05135052,-0.075089484,-0.008471223,-0.046010174,0.005512361,0.11108059
12,-0.041040473,-0.12176796,0.17635201,-0.017656835,-0.15755342,-0.27593714,-0.07522677,0.15238182,-0.08158218,-0.08764032,0.24895956,0.02193698,-0.030021379,-0.10864056,-0.08157717,-0.20793772,-0.012422337,0.10830737,-0.07100074,-0.11865017,0.12297657,-0.057210427,0.08954776,0.0047474215,0.031746477,0.076592065,-0.10097347,0.019704496,0.09365946,-0.10340198,-0.23857558,0.082876325,-0.04001976,-0.025027983,0.09167302,0.09403979,0.19192462,0.0019903178,0.10569998,-0.046069235,0.06261181,0.16932738,-0.09885615,0.038737986,0.105322815,-0.047817986,-0.07959147,-0.090767734,0.12613876,0.02210372,0.071718276,-0.071073234,-0.02351202,0.11174367,0.18631814,-0.0056376318,0.0055373707,-0.15421093,-0.0832075,0.07984439,0.14606534,-0.08846368,0.049140364,-0.0019367164,-0.03802533,0.00599949,0.07570521,0.11884919,0.12239033,-0.11022593,0.06265075,-0.11198348,-0.14982705,-0.20771612,-0.0076190727,0.005601845,0.11281834,-0.08242696,0.111299776,0.061979,-0.14037739,-0.0495448,0.2528508,0.17329873,0.009640244,0.043800425,0.111170895,-0.011499886,0.09649245,0.09008129,-0.025341924,0.04394101,-0.039587047,0.10067092,0.18040182,0.034704614,-0.2013687,-0.16151783,0.08908102,0.07462323,-0.20127548,0.15127018,0.094502196,0.024093814,0.14180228,-0.019302126,0.011164523,-0.18645968,-0.012224145,-0.12434244,0.05871625,-0.058680452,0.022037532,0.056938674,0.04881185,0.049484704,0.047574308,0.0936906,0.043239396,0.048245233,-0.03734307,-0.027059965,0.01886013,-0.09624408,-0.04174766,-0.09045681,-0.07474435,0.006946797
3,-0.07037188,-0.1549006,0.10922719,-0.018847654,-0.06709129,-0.23472185,-0.024533799,0.0931882,-0.0069680586,-0.003205438,0.31555405,-0.02460099,-0.049663547,-0.03513234,-0.06770135,-0.07032817,-0.0070044533,0.11396,-0.031126909,0.09958186,0.17299996,0.037504446,-0.035312526,-0.0017544307,-0.099663444,0.02903513,-0.2093943,-0.059475407,-0.00925394,-0.06443199,-0.18025976,-0.030184776,-0.0459209,0.037705787,0.13206477,0.185303,0.27082112,-0.004265825,0.23542064,-0.05089092,-0.0070325756,0.19879237,0.055966064,-0.04088251,0.091253966,-0.016993701,-0.022088857,-0.08955722,0.10551357,-0.008722193,0.12034638,-0.0092607085,0.0536188,0.02301804,0.27288163,0.023686789,0.07709414,-0.09050271,-0.044506896,-0.0004011207,0.12495817,-0.19162366,-0.016250633,-0.013955207,0.072878405,0.011834758,0.1209466,0.1593734,0.08927242,0.0031744037,0.11512312,-0.08744731,-0.16331491,-0.11017668,-0.019723793,-0.06909224,0.09821125,-0.027773833,0.11266589,0.22003755,-0.051161904,-0.11260568,0.14989918,0.25849056,0.015687978,0.036427632,0.19214477,-0.040807445,0.1303889,0.13132337,0.04899106,-0.01617142,-0.21480314,0.01718966,0.32543904,-0.009699498,-0.35317585,-0.20280589,-0.0067888973,0.037478633,-0.2210459,0.11219761,0.04677115,-0.0036131772,0.08803867,0.12325211,0.04198067,-0.15288863,-0.054929134,-0.20486623,0.06573786,0.020543166,-0.00014880483,-0.031294975,0.062224817,-0.023395728,-0.017615061,0.1304427,-0.0053790202,0.022775458,-0.07069277,0.056586582,-0.045500275,-0.0722583,-0.01073243,-0.033361007,0.006229151,0.10660547
10,-0.060877077,-0.15747328,0.10729762,-0.014902715,-0.07164265,-0.2375256,-0.024812553,0.09128812,-0.006311256,-0.008202032,0.3195684,-0.034806218,-0.05588759,-0.027842306,-0.060360618,-0.060671255,-0.01425011,0.12035583,-0.027489096,0.11177674,0.18588576,0.050852887,-0.034072645,0.0036627615,-0.10654193,0.036792092,-0.21548572,-0.066461146,-0.0096210595,-0.05586413,-0.18959367,-0.033422437,-0.039249517,0.042807855,0.12676968,0.1815349,0.2938915,0.005200437,0.24648848,-0.057795443,-0.013518429,0.20351246,0.074057676,-0.042890318,0.08530951,-0.017414449,-0.026891902,-0.098680235,0.10555148,-0.01973827,0.1296048,-0.02432591,0.054875728,0.034997575,0.2800294,0.026638648,0.08466226,-0.09926306,-0.057891,-0.015709246,0.1251877,-0.20519689,-0.01659548,-0.027689956,0.07526743,0.011545458,0.12277464,0.15844487,0.091164425,0.003872018,0.121599466,-0.08243949,-0.17584154,-0.09897187,-0.031237304,-0.059773084,0.093288116,-0.024136135,0.105284005,0.22585453,-0.052956615,-0.11034305,0.14968874,0.2520148,0.013904383,0.03258496,0.19651261,-0.04383369,0.13210858,0.14553788,0.044554815,-0.015661115,-0.231955,0.011693852,0.34906423,-0.009973019,-0.36677757,-0.19596247,-0.0027614562,0.038520608,-0.22164458,0.11204726,0.052024886,-0.0130062755,0.081533946,0.1311696,0.050758205,-0.14302498,-0.06896995,-0.21755357,0.07317367,0.02159366,-0.0054287976,-0.03186616,0.07718725,-0.021763014,-0.02016603,0.13481368,-0.0032056556,0.0231652,-0.067886926,0.054604683,-0.054913383,-0.07570174,-0.002167774,-0.04762221,-0.0010738743,0.11746172
